sno,stop_name,category,value
500101214.0,仁愛敦南圓環(西北側),中,2
500101215.0,立人國小,中,2
500101216.0,和平東路二段18巷口,中,2
500101217.0,捷運大安站(5號出口),中,2
500101218.0,臨江公園,中,2
500101219.0,羅斯福路四段113巷19弄口,中,2
500101221.0,忠孝東路四段248巷口,中,2
500101222.0,仁愛延吉路口(西北側),高,3
500101223.0,樂利路101巷口,高,3
500101224.0,羅斯福浦城街口,中,2
500101225.0,敦化南路一段295巷口,中,2
500101226.0,通安區民活動中心,中,2
500101228.0,仁愛大安路口(東北側),中,2
500103001.0,延平國宅,高,3
500103002.0,臺北市立圖書館大同分館,高,3
500103003.0,合昌宮,高,3
500103004.0,民族延平路口,高,3
500103005.0,重慶酒泉街口,高,3
500103006.0,樹德公園,高,3
500103007.0,陳天來故居,高,3
500103008.0,臺北孔廟,高,3
500103009.0,捷運圓山站(1號出口),高,3
500103010.0,酒泉延平路口,高,3
500103011.0,重慶國中,高,3
500103012.0,重慶北路三段383巷口,高,3
500103013.0,台北數位產業園區,高,3
500103019.0,民權延平路口(西北側),高,3
500103020.0,民權迪化街口,高,3
500103021.0,大稻埕公園,高,3
500103022.0,大龍老人住宅,中,2
500103023.0,大龍峒社會住宅,高,3
500103024.0,捷運大橋頭站(2號出口),高,3
500103025.0,捷運大橋頭站(1A出口),中,2
500103026.0,捷運民權西路站(2號出口),中,2
500103027.0,捷運雙連站(2號出口),高,3
500103028.0,捷運北門站(3號出口),高,3
500103029.0,朝陽公園,中,2
500103030.0,永樂市場,高,3
500103031.0,大龍公園,高,3
500103032.0,重慶涼州街口,中,2
500103033.0,圓山線形公園,中,2
500103034.0,圓環站,高,3
500103035.0,重慶民族路口,高,3
500103036.0,承德路三段8巷口,中,2
500103037.0,太原廣場,高,3
500103038.0,國順公園,高,3
500103039.0,聯合醫院中興院區,高,3
500103040.0,蔣渭水紀念公園,高,3
500103041.0,迪化休閒運動公園,高,3
500103042.0,大同運動中心,高,3
500103043.0,重慶保安街口(家樂福重慶店),高,3
500103044.0,大稻埕碼頭,高,3
500103045.0,歸綏戲曲公園,高,3
500103046.0,民權國中(民權西路),中,2
500103047.0,承德民權路口,中,2
500103048.0,南京太原路口,中,2
500103049.0,承德民生西路口,中,2
500103050.0,太原五原路口,高,3
500103051.0,臺北轉運站(華陰街),高,3
500103052.0,捷運民權西路站(3號出口),高,3
500103053.0,捷運中山站(5號出口),中,2
500103054.0,重慶長安路口,高,3
500103055.0,承德昌吉街口,中,2
500103056.0,大同16號廣場,中,2
500103057.0,捷運圓山站(2號出口),高,3
500103058.0,樹德公園,高,3
500103059.0,承德鄭州路口(市民高架下),高,3
500103060.0,成淵高中,高,3
500103061.0,雙蓮國小,高,3
500103062.0,寧夏涼州街口,高,3
500103063.0,延平涼州街口,高,3
500104001.0,劍潭抽水站,中,2
500104002.0,通河東街大南路口,高,3
500104003.0,福港街停車場,高,3
500104004.0,百齡國小,高,3
500104005.0,雨聲街165巷口,高,3
500104006.0,天和公園,高,3
500104007.0,中山天母路口,高,3
500104008.0,天母運動公園,高,3
500104009.0,臺北市立大學(天母校區),高,3
500104010.0,忠誠路二段53巷,高,3
500104012.0,天母棒球場,高,3
500104013.0,天母北天玉街口,中,2
500104014.0,蘭興公園,高,3
500104015.0,明勝公園,中,2
500104016.0,劍潭海外青年活動中心,中,2
500104018.0,忠誠路一段173巷口,中,2
,雨農國小,高,3
500104020.0,忠誠公園,中,2
500104021.0,芝山抽水站,高,3
500104022.0,至誠路一段305巷口,高,3
500104023.0,華齡公園,高,3
500104024.0,前港公園(福德宮),高,3
500104025.0,華齡街185巷口,中,2
500104026.0,前港公園(前港街),高,3
500104027.0,百齡高中,高,3
500104028.0,捷運芝山站(2號出口),高,3
500104029.0,臺灣戲曲中心,高,3
,捷運劍潭站(2號出口),高,3
500104031.0,劍潭基河路口,高,3
500104032.0,志成公園,高,3
500104033.0,福林國小,高,3
500104034.0,中山中正路口,高,3
500104035.0,士林運動中心,高,3
500104036.0,陽明高中,高,3
500104037.0,兒童新樂園,高,3
500104038.0,臺北市立天文館,高,3
500104040.0,福林公園,高,3
